id,metric_type,age_group,sex,risk_level,condition_expr,priority,text_summary_template,text_evidence_template,text_action_template,evidence_ref,notes,feedback_text
IADL-前期高齢者-男-要改善,KCL_IADL,前期高齢者,男,要改善,COUNT_ON_KCL(1..5) >= 3,10,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),訪問支援/家族支援を導入し、買物・調理・金銭管理の安全性を確保。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活動作の評価が「要改善」となりました。これは、この状態は、買い物や調理、金銭管理などの生活機能において、支援が必要なサインと考えられます。訪問支援や家族のサポートを導入し、これらの活動の安全性を確保することをお勧めします。生活習慣や環境の調整も重要ですので、不安な場合は専門家に相談してください。
IADL-前期高齢者-男-注意,KCL_IADL,前期高齢者,男,注意,COUNT_ON_KCL(1..5) == 1　or 2,20,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),見守り・チェックリストで遂行状況を定着。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活動作のリスクレベルは「注意」となりました。この結果は、買い物や食事の準備、預金管理などの手段的日常生活動作において、少しの支援が必要であることを示唆しています。生活習慣や環境の調整、または家族や地域からの支援を受けることが重要です。見守りやチェックリストを活用して、日常生活の遂行状況を定着させることをお勧めします。なお、これは診断ではありませんので、不安な場合は専門家に相談してください。
IADL-前期高齢者-男-正常,KCL_IADL,前期高齢者,男,正常,COUNT_ON_KCL(1..5) == 0,30,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = 0,現状維持。IADLの変化を月次で簡易チェック。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活動作のリスクレベルが正常であることが確認されました。この状態を維持するためには、月次でIADLの変化を簡易チェックすることをお勧めします。日常生活の中で運動や栄養、口腔ケア、外出や社会参加を意識し、健康的な生活を続けてください。なお、これは診断ではありませんので、何か不安なことがあれば、ぜひ相談してください。
IADL-前期高齢者-女-要改善,KCL_IADL,前期高齢者,女,要改善,COUNT_ON_KCL(1..5) >= 3,10,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),家事支援・配食サービス等でIADL負荷を下げつつ安全に再開。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、要改善のリスクレベルに該当しました。これは、買い物や食事の準備、預金管理などの手段的日常生活動作が低下している可能性を示しています。この状況を改善するためには、家事支援や配食サービスを利用し、負担を軽減しながら安全に日常生活を再開することをお勧めします。診断ではありませんが、もし不安な場合は専門家に相談することも大切です。生活習慣や環境の調整を行い、地域の支援を受けることで、より良い生活を送る手助けになるでしょう。
IADL-前期高齢者-女-注意,KCL_IADL,前期高齢者,女,注意,COUNT_ON_KCL(1..5) == 1　or 2,20,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),一部タスクの同行支援や手順表の導入。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、リスクレベルが「注意」となりました。これにより、日常生活の一部において支援が必要な可能性が示唆されています。具体的には、買い物や食事の準備、預金管理などの活動において、同行支援や手順表の導入を検討することをお勧めします。生活習慣や環境調整、周囲の支援体制を整えることが重要ですので、不安な場合は専門家に相談することをお勧めします。
IADL-前期高齢者-女-正常,KCL_IADL,前期高齢者,女,正常,COUNT_ON_KCL(1..5) == 0,30,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = 0,維持のため、買物・調理の役割継続。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活動作の評価においてリスクレベルが正常であることが確認されました。この状態を維持するためには、引き続き買い物や調理の役割を続けることが重要です。生活習慣や環境の調整、地域の支援を受けることも考慮しながら、健康的な生活を送ってください。なお、何か不安な点がある場合は、専門家に相談することをお勧めします。
IADL-後期高齢者-男-要改善,KCL_IADL,後期高齢者,男,要改善,COUNT_ON_KCL(1..5) >= 3,10,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),安全配慮（見守り/代行活用）でIADLを段階再開。地域包括支援センター連携。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、要改善のリスクレベルが示されました。この状況は、買い物や食事の準備、預金管理などの手段的日常生活動作の低下が見られることを示唆しています。安全に配慮し、見守りや代行サービスを活用することで、IADLを段階的に再開することをお勧めします。また、地域包括支援センターと連携し、生活習慣や環境の調整を行うことも重要です。診断ではありませんので、不安な場合はぜひ相談してください。
IADL-後期高齢者-男-注意,KCL_IADL,後期高齢者,男,注意,COUNT_ON_KCL(1..5) == 1　or 2,20,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),チェックシートで頻度・安全を確認しながら継続。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、「注意」のリスクレベルと判定されました。この状態は、買い物や食事の準備、預金管理などの手段的日常生活動作の低下を示唆しており、要支援や要介護の前段階として重要なサインです。無理のない範囲で、チェックシートを用いて日常生活の頻度や安全性を確認しながら、継続的な見直しを行うことをお勧めします。生活習慣や環境の調整、地域や家族の支援を活用することで、より良い生活を送る手助けとなります。なお、心配な点があれば、専門家に相談することも大切です。
IADL-後期高齢者-男-正常,KCL_IADL,後期高齢者,男,正常,COUNT_ON_KCL(1..5) == 0,30,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = 0,維持のため、家族や地域の見守りを併用。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、リスクレベルは正常と判断されました。これは、日常生活における基本的な動作に問題がないことを示しています。引き続きこの状態を維持するためには、家族や地域の見守りを活用することが重要です。生活習慣の見直しや環境調整も併せて行うことで、より良い生活を送ることができるでしょう。診断ではありませんが、何か不安なことがあれば、ぜひ相談してください。
IADL-後期高齢者-女-要改善,KCL_IADL,後期高齢者,女,要改善,COUNT_ON_KCL(1..5) >= 3,10,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),配食/買物代行・金銭管理支援で安全確保し段階復帰。包括支援センターへ相談。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活動作の評価において「要改善」との結果が出ました。この状態は、買い物や食事の準備、金銭管理などの日常生活において支援が必要なサインです。安全を確保し、段階的に生活機能を復帰させるために、配食サービスや買物代行、金銭管理の支援を検討することをお勧めします。また、地域の包括支援センターに相談することで、より適切なサポートを受けることができます。診断ではありませんので、不安な場合はぜひ相談してみてください。
IADL-後期高齢者-女-注意,KCL_IADL,後期高齢者,女,注意,COUNT_ON_KCL(1..5) == 1　or 2,20,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),同行支援・タイムスケジュール化で継続。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、後期高齢者の女性の方は、注意が必要な状態とされました。日常生活における手段的な動作の低下は、要支援や要介護の前段階として重要なサインですので、早めの対策が推奨されます。無理のない範囲での同行支援や、タイムスケジュールを活用した生活の継続が役立つでしょう。生活習慣や環境の調整、地域の支援体制を利用することも大切です。診断ではありませんが、不安な場合はぜひ相談してください。
IADL-後期高齢者-女-正常,KCL_IADL,後期高齢者,女,正常,COUNT_ON_KCL(1..5) == 0,30,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = 0,維持のため、月次の簡易チェックを継続。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、正常な状態と判定されました。この状態を維持するためには、月次の簡易チェックを継続することをお勧めします。定期的なチェックを行うことで、生活習慣や環境の調整を行い、さらなる健康維持に繋がります。なお、この評価は診断ではありませんので、不安な場合は専門家に相談することをお勧めします。
